0.1685    15.4790    9.5442    2.9170    2.6111    12.6712    11.3480    0.7833    0.7930    10.8751    12.3146    1.8266    -0.9477    0.1116    -0.0231
0.1777    15.6040    9.6839    2.8561    2.5887    11.8792    10.7700    0.7734    0.7855    10.2917    11.6667    1.6714    -0.8819    0.1057    -0.0193
0.1872    15.7270    9.8208    2.7974    2.5651    11.1556    10.2280    0.7636    0.7777    9.7573    11.0610    1.4905    -0.8210    0.1070    -0.0162
0.1968    15.8480    9.9550    2.7412    2.5404    10.4900    9.7192    0.7542    0.7695    9.2576    10.4928    1.3597    -0.7644    0.0921    -0.0136
0.2067    15.9660    10.0866    2.6873    2.5146    9.8722    9.2406    0.7449    0.7611    8.7651    9.9598    1.2350    -0.7117    0.0725    -0.0114
0.2167    16.0820    10.2156    2.6350    2.4878    9.3007    8.7908    0.7356    0.7523    8.2855    9.4580    1.1462    -0.6621    0.0554    -0.0095
0.2270    16.1950    10.3424    2.5840    2.4600    8.7899    8.3664    0.7261    0.7433    7.8455    8.9860    1.1327    -0.6155    0.0527    -0.0079
0.2375    16.3060    10.4666    2.5343    2.4314    8.3171    7.9664    0.7167    0.7340    7.4596    8.5402    1.0460    -0.5715    0.0739    -0.0066
0.2482    16.4160    10.5887    2.4869    2.4019    7.8787    7.5881    0.7072    0.7244    7.1361    8.1195    0.9410    -0.5297    0.0600    -0.0055
0.2591    16.5240    10.7085    2.4412    2.3716    7.4758    7.2307    0.6975    0.7145    6.8639    7.7211    0.7062    -0.4901    0.0421    -0.0045
0.2701    16.6320    10.8262    2.3970    2.3405    7.1037    6.8922    0.6880    0.7044    6.6012    7.3442    0.4063    -0.4521    0.0470    -0.0037
0.2814    16.7390    10.9417    2.3543    2.3087    6.7573    6.5717    0.6790    0.6940    6.3504    6.9864    0.1535    -0.4158    0.0617    -0.0029
0.2929    16.8440    11.0552    2.3139    2.2762    6.4184    6.2677    0.6703    0.6834    6.0696    6.6470    0.0574    -0.3808    0.0434    -0.0023
0.3046    16.9480    11.1668    2.2750    2.2431    6.0913    5.9789    0.6618    0.6726    5.7690    6.3240    0.1462    -0.3472    0.0153    -0.0017
0.3164    17.0490    11.2764    2.2365    2.2093    5.7852    5.7046    0.6529    0.6615    5.4743    6.0168    0.3299    -0.3147    0.0012    -0.0013
0.3284    17.1480    11.3840    2.1976    2.1749    5.4992    5.4439    0.6429    0.6502    5.2073    5.7240    0.5227    -0.2832    -0.0067    -0.0008
0.3407    17.2450    11.4898    2.1575    2.1400    5.2294    5.1956    0.6317    0.6387    4.9758    5.4450    0.6467    -0.2526    -0.0092    -0.0005
0.3530    17.3420    11.5937    2.1166    2.1045    4.9837    4.9591    0.6196    0.6270    4.7680    5.1783    0.6320    -0.2228    0.0143    -0.0001
0.3656    17.4370    11.6959    2.0760    2.0685    4.7420    4.7335    0.6069    0.6151    4.5389    4.9236    0.5366    -0.1938    0.0444    0.0002
0.3783    17.5310    11.7962    2.0374    2.0321    4.5030    4.5185    0.5945    0.6029    4.2830    4.6799    0.4416    -0.1655    0.0293    0.0005
0.3912    17.6220    11.8949    2.0001    1.9952    4.2798    4.3132    0.5823    0.5906    4.0412    4.4468    0.4326    -0.1377    0.0022    0.0007
0.4043    17.7110    11.9917    1.9627    1.9579    4.0693    4.1172    0.5701    0.5781    3.8394    4.2233    0.4339    -0.1105    -0.0032    0.0010
